,CATEGORY L2,CATEGORY L3,DEFINITION
MRO,INDUSTRIAL SUPPLIES,SAFETY SUPPLIES,"Personal Protection Equipment (PPE) such as gloves, glasses, ear protection, Tyvek suits, cut and flame protection, shoes"
MRO,INDUSTRIAL SUPPLIES,TAPE,"Materials utilized to bond, repair, and protect a wide range of materials"
MRO,INDUSTRIAL SUPPLIES,TEST & MEASUREMENT EQUIPMENT,Test and measurement equipment
MRO,INDUSTRIAL SUPPLIES,WELDING SUPPLIES & GASES,"Torches, welding rods, welding wire, could also include welding gases"
MRO,INDUSTRIAL SUPPLIES,CHEMICALS/REAGENTS,"Chemicals and reagents refer to substances used in manufacturing, laboratory testing, cleaning, and research. They include acids, solvents, and specialty compounds required for production or analysis. Suppliers provide high-purity materials, safety data sheets, and compliance with standards like OSHA and REACH. Proper storage, labeling, and handling are essential to ensure safety, consistency, and environmental responsibility."
MRO,INDUSTRIAL SUPPLIES,CONVEYOR BELTS & PARTS,"Conveyor belts and parts support automated material transport systems in manufacturing and distribution environments. Components include rollers, motors, belts, and control systems. These systems enhance efficiency, reduce manual labor, and improve safety in high-volume operations. Maintenance services and spare parts management help ensure uptime, optimize performance, and extend system lifespan."
MRO,INDUSTRIAL SUPPLIES,ELECTRICAL DISTRIBUTION,"Electrical distribution systems deliver power from the main source to equipment, lighting, and outlets throughout a facility. Components include switchgear, transformers, circuit breakers, and wiring. Proper design ensures load balancing, safety, and energy efficiency. Providers may offer system installation, testing, and maintenance services to maintain compliance with electrical codes and operational reliability."
MRO,INDUSTRIAL SUPPLIES,FANS,"Industrial fans provide ventilation, cooling, and air circulation in commercial and manufacturing environments. They include axial, centrifugal, and exhaust types designed for dust control, temperature regulation, and worker comfort. Proper fan selection enhances air quality and energy efficiency. Suppliers often provide installation and balancing services, ensuring compliance with safety and environmental standards."
MRO,INDUSTRIAL SUPPLIES,GASKET & SEALS,"Gaskets and seals prevent leaks and maintain pressure in mechanical systems such as engines, pumps, and piping. Made from materials like rubber, silicone, or metal, they ensure safe containment of gases or liquids. Custom fabrication supports specific industrial needs. High-quality sealing components improve efficiency, reduce maintenance, and extend equipment life by ensuring tight, reliable joints."
MRO,MRO SERVICES,EQUIPMENT MAINTENANCE & REPAIR,"Equipment / machine (manufacturing and production) maintenance and repair services "
MRO,MRO SERVICES,EQUIPMENT RENTAL,Renting equipment for construction or maintenance
MRO,MRO SERVICES,PUMP & MOTOR REPAIRS,Pump and motor repairs
MRO,MRO SERVICES,UNIFORM & LINEN SERVICE,Uniforms and clothing providers
MRO,MRO SERVICES,OUTSIDE TESTING & RESEARCH,"Outside testing and research services provide third-party scientific analysis, validation, or product testing across industries. These may include material testing, environmental studies, and performance assessments. Independent laboratories ensure objectivity, compliance, and certification to standards like ASTM, ISO, or EPA. Outsourced testing enhances product quality, safety assurance, and regulatory readiness without internal infrastructure costs."
PACKAGING PRODUCTS,PACKAGING PRODUCTS,CORES & TUBES,Cores and or tubes used for storage or distribution
PACKAGING PRODUCTS,PACKAGING PRODUCTS,BAGS & SACKS,Bulk containers used to store or transport solids or powder goods
PACKAGING PRODUCTS,PACKAGING PRODUCTS,CORRUGATED,"Standard, durable brown shipping box to transport materials - different sizes available"
PACKAGING PRODUCTS,PACKAGING PRODUCTS,"DRUMS, TOTES & PAILS","Bulk containers used to store or transport liquids - Commonly, chemicals"
PACKAGING PRODUCTS,PACKAGING PRODUCTS,ECOMMERCE PACKAGING,"Packaging with set criteria outlining the size, material, and dimensions for a product or company"
PACKAGING PRODUCTS,PACKAGING PRODUCTS,FLEXIBLE PACKAGING,Containers whose shape can be readily changed Ex Bag or pouch
PACKAGING PRODUCTS,PACKAGING PRODUCTS,PLASTIC CONTAINERS/TOTES,"Bulk containers made of plastic "
PACKAGING PRODUCTS,PACKAGING PRODUCTS,RETAIL PACKAGING,Packaging of a single product to share with an end consumer
PACKAGING PRODUCTS,PACKAGING SUPPLIES,MAILERS & PACKING ENVELOPES,Paper containers to transport letters or documents
PACKAGING PRODUCTS,PACKAGING SUPPLIES,PACKAGING SUPPLIES,"Tape, Stretch Wrap, Strapping, Dunnage, Void Fill, Mailers/Shipping Envelopes"
PACKAGING PRODUCTS,PACKAGING SUPPLIES,PROTECTIVE PACKAGING,Custom boxes with protective corners and edges for fragile or otherwise sensitive materials
PACKAGING PRODUCTS,PACKAGING SUPPLIES,STRETCH / SHRINK WRAP,Plastic or shrink wrap
PACKAGING PRODUCTS,PACKAGING SUPPLIES,PALLETS & CRATES,Pallet or crate used for product transportation when shipping or within a warehouse
PACKAGING PRODUCTS,PACKAGING SUPPLIES,RETAIL DISPLAYS,"Point of purchase displays located next to a product for advertising "
PRINT,COMMERCIAL PRINT,CATALOGS,Prining of catalogs
PRINT,COMMERCIAL PRINT,CHECKS,Printing of checks
PRINT,COMMERCIAL PRINT,COMMERCIAL PRINT,"Printing products for business use "
PRINT,COMMERCIAL PRINT,FLYERS & BROCHURES,Printing of flyers and brochures for business purposes
PRINT,COMMERCIAL PRINT,FORMS,Priting of forms
PRINT,COMMERCIAL PRINT,FREE STANDING INSERTS,"Services dedicated to developing advertising materials to go in various print media outlets, like newspapers and magazines"
PRINT,COMMERCIAL PRINT,SIGNAGE & GRAPHICS,"Pringitng of signs and graphics "
PRINT,COMMERCIAL PRINT,STATEMENTS & INVOICES,"Printing of statements and invoices "
PRINT,COMMERCIAL PRINT,DIRECT MAIL,"Print (flyers, postcards brochures, etc) or data processing / list management of materials shared with customers and prospective customers "
PRINT,PRINT SUPPLIES,GIFT & LOYALTY CARDS,"Services that help purchase and share gifts or loyalty cards to customers "
PRINT,PRINT SUPPLIES,LABELS,"Any barcode, label, tag (non-adhesive label), RFID that is printed on or attached to products for tracking purposes"
PRINT,PRINT SUPPLIES,ENVELOPES,Paper
PRINT,PRINT SUPPLIES,PAPERS,Paper
PRINT,PRINT SUPPLIES,PRINTING SUPPLIES,Resources and services that help create printed materials
PROFESSIONAL SERVICES,ACCOUNTING & AUDITING,ACCOUNTING & AUDITING,Accounting and auditing related services
PROFESSIONAL SERVICES,ACCOUNTING & AUDITING,TAX SERVICES,"Tax related services "
PROFESSIONAL SERVICES,ADVISORY & MANAGEMENT CONSULTING,ADVISORY & MANAGEMENT CONSULTING,"Outsourced consulting services related to strategic planning, business and operating model strategy, mergers & acquisitions, international expansion / development, and others"
PROFESSIONAL SERVICES,ADVISORY & MANAGEMENT CONSULTING,FINANCIAL & RISK ADVISORY,"Outsourced consulting services to help reduce, manage and mitigate financial risk "
PROFESSIONAL SERVICES,BUSINESS PROCESS OUTSOURCING (BPO),BUSINESS PROCESS OUTSOURCING (BPO),"Outsourced services for a specific business function "
PROFESSIONAL SERVICES,BUSINESS PROCESS OUTSOURCING (BPO),COLLECTION SERVICES,"Debt collection services, also known as Accounts Receivable outsourcing"
PROFESSIONAL SERVICES,BUSINESS PROCESS OUTSOURCING (BPO),CONTACT CENTERS,"Outsourced contact center services "
PROFESSIONAL SERVICES,ENVIRONMENTAL CONSULTING,ENVIRONMENTAL CONSULTING,"Consulting services to help address environmental issues and reduce environmental impacts "
PROFESSIONAL SERVICES,LEGAL SERVICES,ARBITRATION & MEDIATION,"Legal firms providing arbitration and mediation advise "
PROFESSIONAL SERVICES,LEGAL SERVICES,E-DISCOVERY,"Legal firms aiding in electronic discovery, defined as the process of discovery in civil litigation carried out in electronic formats "
PROFESSIONAL SERVICES,LEGAL SERVICES,LEGAL SERVICES,Legal firms providing a variety of standard business related services
PROFESSIONAL SERVICES,LOBBYISTS,LOBBYISTS,"Services that work to influence actions, policies, or decisions (typically of elected officials) on behalf of a client company or industry group"
PROFESSIONAL SERVICES,TRANSLATION SERVICES,TRANSLATION SERVICES,"Foreign language translation services, in either a written or verbal format"
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,AIR COMPRESSORS,Air compressor services
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,BOILERS,Boiler services
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,BUILDING ENGINEERING SERVICES,"Engineering or hard services related to building installation, repair, and maintenance"
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,BUILDING MANAGEMENT SYSTEM,System associated with managing building maintenance
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,BUILDING REPAIR & MAINTENANCE,"Repair and maintenance services "
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,CHILLERS,Chillers
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,COOLING TOWERS,Cooling towers
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,DOCK DOORS & EQUIPMENT,"Dock door purchase and repair "
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,ELECTRICAL SERVICES,Electrical contractors and electricians
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,FIRE & LIFE SAFETY,"Fire suppression and sprinkler system installation, repair, and maintenance"
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,GENERATORS,Power generators for buildings
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,HVAC/R,"HVAC installation, repair and maintenance services "
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,KITCHEN EQUIPMENT,Kitchen equipment services
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,LIGHTING SERVICES,Lighting services
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,PAINTING SERVICES,Painting services
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,PLUMBING SERVICES,"Water, sewage, and gas plumbing installation and repair services"
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,REMEDIATION SERVICES,Facility disaster recovery and flood remediation services
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,ROOFING,Roofing services and supplies for new constructions or repairs
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,SIGNAGE,"Exterior signage, parts, installation, and repair"
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,UPS SYSTEMS,Uninterruptible power supply systems
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,VERTICAL TRANSPORT,Elevator and escalator maintenance and repair services
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,CARPENTRY/HANDYMAN SVCS,"Carpentry and handyman services provide general maintenance, repair, and small-scale construction work for residential, commercial, or industrial facilities. Tasks may include framing, drywall repair, cabinetry, flooring, and fixture installation. Skilled technicians handle both structural and aesthetic improvements, ensuring safety and functionality. These services are ideal for routine upkeep, renovations, and emergency repairs, helping organizations maintain property condition and operational readiness."
REAL ESTATE & FACILITIES,BUILDING REPAIR & MAINTENANCE,DOORS - INTERIOR / EXTERIOR,"Interior and exterior door services cover the supply, installation, and maintenance of doors for buildings and facilities. Interior doors enhance privacy and aesthetics, while exterior doors prioritize security, insulation, and weather resistance. Providers offer materials such as wood, metal, and fiberglass, along with hardware, locks, and automation systems. Proper installation ensures durability, energy efficiency, and code compliance."
REAL ESTATE & FACILITIES,FACILITY SERVICES,FACILITY / PROPERTY RENT,Facility and property lease and rental payments
REAL ESTATE & FACILITIES,FACILITY SERVICES,CONCIERGE & HOSPITALITY,Concierge services
REAL ESTATE & FACILITIES,FACILITY SERVICES,INTEGRATED FACILITIES MANAGEMENT,"Outsourced facilities management including management of all facilities related services: janitorial, landscaping, electrical, HVAC, plumbing, etc"
REAL ESTATE & FACILITIES,FACILITY SERVICES,LOCKSMITH,Lock and key services
REAL ESTATE & FACILITIES,FACILITY SERVICES,PEST CONTROL,Recurring and non-recurring pest control services
REAL ESTATE & FACILITIES,FACILITY SERVICES,PRINT / MAILROOM MANAGEMENT,Outsourced mailroom and/or print management services
REAL ESTATE & FACILITIES,FACILITY SERVICES,INTERIOR PLANTS,Plants and plant maintenance services
REAL ESTATE & FACILITIES,FACILITY SERVICES,OFFICE FURNITURE,"Desks, chairs, cubicles, artwork, décor"
REAL ESTATE & FACILITIES,FACILITY SERVICES,INDUSTRIAL CLEANING,"Industrial cleaning services specialize in the removal of contaminants, dust, and waste from manufacturing plants, warehouses, and production facilities. Techniques may include high-pressure washing, vacuuming, degreasing, and hazardous waste handling. These services ensure safety, hygiene, and regulatory compliance (OSHA, EPA). Providers use specialized equipment and trained personnel to maintain operational efficiency and reduce downtime in industrial environments."
REAL ESTATE & FACILITIES,FOOD SERVICES,BREAKROOM SERVICES,"Food service management services specific to coffee and break room services, not cafeteria"
REAL ESTATE & FACILITIES,FOOD SERVICES,FOOD SERVICES,Food service management services focused on corporate cafeterias or in office catering
REAL ESTATE & FACILITIES,FOOD SERVICES,VENDING,Vending Services and supplies for new vending or repairs
REAL ESTATE & FACILITIES,GROUNDS MAINTENANCE,LANDSCAPING & SNOW REMOVAL,"Landscaping and snow removal services "
REAL ESTATE & FACILITIES,GROUNDS MAINTENANCE,PARKING LOT MAINTENANCE,"Upkeep of parking lots including line painting, crack filling, sealcoating, lighting, and snow/ice management."
REAL ESTATE & FACILITIES,GROUNDS MAINTENANCE,IRRIGATION SYSTEM,"Irrigation system services include the design, installation, and maintenance of systems that distribute water efficiently for landscaping, agriculture, or facility grounds. Components such as sprinklers, pumps, valves, and controllers help regulate water use based on soil and weather conditions. Properly managed irrigation conserves resources, supports plant health, and ensures compliance with environmental standards."
REAL ESTATE & FACILITIES,JANITORIAL SERVICES,CARPET CLEANING,"Carpet and upholstery cleaning services "
REAL ESTATE & FACILITIES,JANITORIAL SERVICES,FLOOR CARE,"Floor cleaning services "
REAL ESTATE & FACILITIES,JANITORIAL SERVICES,JANITORIAL SERVICES,Facility cleaning and janitorial services
REAL ESTATE & FACILITIES,JANITORIAL SERVICES,WINDOW WASHING,Window cleaning service
REAL ESTATE & FACILITIES,JANITORIAL SERVICES,DAY PORTER SERVICE,"Day porter services provide on-site janitorial and maintenance support during business hours. Porters handle cleaning, restocking, waste removal, and light repairs in high-traffic areas such as lobbies, restrooms, and offices. They ensure facilities remain clean, safe, and presentable throughout the day. This service complements overnight cleaning crews, supporting continuous facility maintenance and customer satisfaction."
REAL ESTATE & FACILITIES,JANITORIAL SERVICES,ENVIRONMENTAL SERVICES (EVS),"Environmental Services (EVS) involve cleaning, sanitation, and infection prevention in healthcare and institutional facilities. EVS teams maintain hygiene standards to protect patients, staff, and visitors from contamination and disease. Services include waste management, disinfection, and compliance with health regulations such as CDC and OSHA standards. Effective EVS programs contribute to patient safety, operational excellence, and positive environmental outcomes."
REAL ESTATE & FACILITIES,REAL ESTATE SERVICES,LEASE ADMINISTRATION,Leasing / rental administration service
REAL ESTATE & FACILITIES,REAL ESTATE SERVICES,PROPERTY MANAGEMENT,Third party property management service
REAL ESTATE & FACILITIES,REAL ESTATE SERVICES,REAL ESTATE ANALYTICS,Real estate analytic services and subscriptions
REAL ESTATE & FACILITIES,REAL ESTATE SERVICES,REAL ESTATE SERVICES,"Professional services focused on purchasing, renting, or selling properties - usually services are outsourced to real estate agents"
REAL ESTATE & FACILITIES,SECURITY,ELECTRONIC SECURITY,"Installation and repair of security products (access control, video surveillance, etc.)"
REAL ESTATE & FACILITIES,SECURITY,SECURITY PERSONNEL,Security guards and personnel
REAL ESTATE & FACILITIES,WASTE DISPOSAL & RECYCLING,BULK WASTE PICKUP,Bulk waste collection service
REAL ESTATE & FACILITIES,WASTE DISPOSAL & RECYCLING,COMPACTORS & BALERS,Compactor and baler for waste management services
REAL ESTATE & FACILITIES,WASTE DISPOSAL & RECYCLING,DUMPSTERS,Dumpster services
REAL ESTATE & FACILITIES,WASTE DISPOSAL & RECYCLING,HAZARDOUS WASTE MANAGEMENT,Hazardous or chemical waste stream management services
REAL ESTATE & FACILITIES,WASTE DISPOSAL & RECYCLING,INCINERATION SERVICES,Waste incineration services
REAL ESTATE & FACILITIES,WASTE DISPOSAL & RECYCLING,MEDICAL WASTE,Medical waste disposal service
REAL ESTATE & FACILITIES,WASTE DISPOSAL & RECYCLING,NON-HAZARDOUS WASTE DISPOSAL,Oil clean up and disposal service
REAL ESTATE & FACILITIES,WASTE DISPOSAL & RECYCLING,RECYCLING SERVICES,Recycling services
REAL ESTATE & FACILITIES,WASTE DISPOSAL & RECYCLING,WASTE DISPOSAL & RECYCLING,General waste disposal services
REAL ESTATE & FACILITIES,WATER TREATMENT,WATER TREATMENT,Water treatment chemicals and related services
STORE OPERATIONS,IN-STORE OPERATIONS,FIXTURES & DISPLAYS,"Structures used to show product, like shelves and racks"
STORE OPERATIONS,IN-STORE OPERATIONS,IN-STORE MERCHANDISING,In store product promotional services
STORE OPERATIONS,IN-STORE OPERATIONS,NEW STORE SETUP,New store configuration service
STORE OPERATIONS,IN-STORE OPERATIONS,STORE FIXTURE & DISPLAY INSTALLATION,Fixture and display installation service
STORE OPERATIONS,IN-STORE OPERATIONS,STORE RESETS,Re-arranging and replacing store fixtures and items
STORE OPERATIONS,IN-STORE OPERATIONS,IN-STORE MUSIC,"In-store music service/subscription "
STORE OPERATIONS,IN-STORE SERVICES,INVENTORY SERVICES,"Services associated with ordering, storing and or using inventory"
STORE OPERATIONS,IN-STORE SUPPLIES,STORE SUPPLIES,Store supplies & consumables
TRANSPORTATION & LOGISTICS,FREIGHT SERVICES,AIR FREIGHT,Freight moved over air via airplanes
TRANSPORTATION & LOGISTICS,FREIGHT SERVICES,COURIER SERVICES,"Door to door, pickup and delivery service, typically for smaller packages or documents, often time-sensitive and premium service"
TRANSPORTATION & LOGISTICS,FREIGHT SERVICES,CUSTOMS BROKERAGE,Outsourced brokerage services for transportation and logistic purposes
TRANSPORTATION & LOGISTICS,FREIGHT SERVICES,DRAYAGE,"Transportation service, moving goods a short distance via ground freight"
TRANSPORTATION & LOGISTICS,FREIGHT SERVICES,FREIGHT AUDIT & PAYMENT,"Freight bill audit function (examine, adjust, & verify freight bills for accuracy) and payment function services"
TRANSPORTATION & LOGISTICS,FREIGHT SERVICES,FREIGHT FORWARDING,"Third parties that arrange the importing and exporting of groups, typically over Ocean or Air Freight "
TRANSPORTATION & LOGISTICS,FREIGHT SERVICES,HOME DELIVERY,Home delivery services
TRANSPORTATION & LOGISTICS,FREIGHT SERVICES,LTL,"Less-than-truckload freight "
TRANSPORTATION & LOGISTICS,FREIGHT SERVICES,OCEAN FREIGHT,Freight moved over water via steamship / boat (can be FCL or LCL)
TRANSPORTATION & LOGISTICS,FREIGHT SERVICES,RETAIL POOL DISTRIBUTION,Combining and shipping retail orders in similar markets to cross dock facilities for final store delivery.
TRANSPORTATION & LOGISTICS,FREIGHT SERVICES,RAIL,Freight moved by railroad
TRANSPORTATION & LOGISTICS,FREIGHT SERVICES,SMALL PARCEL SHIPPING,"Delivery of parcels or high value mail as single shipments; typically shipments under 70 lbs. per carton and shipped in cartons, rather than on a pallet"
TRANSPORTATION & LOGISTICS,THIRD PARTY LOGISTICS (3PL),FULFILLMENT,"Specialized vendors in small quantity fulfillment who offer pick, pack, and ship services for Direct to Consumer shipments"
TRANSPORTATION & LOGISTICS,THIRD PARTY LOGISTICS (3PL),THIRD PARTY LOGISTICS (3PL),"Outsourced solutions for enterprise supply chains in packaging, warehousing, transportation and order fulfilment"
TRANSPORTATION & LOGISTICS,THIRD PARTY LOGISTICS (3PL),WAREHOUSING,"Warehouse space and/or warehouse labor to fulfill stocking, pick, pack, and ship services"
TRANSPORTATION & LOGISTICS,TRUCKLOAD,DEDICATED CONTRACT SERVICES,"Tractors, trailers, drivers, and other resources contracted exclusively to carry out operations involved in a customer's transportation network. "
TRANSPORTATION & LOGISTICS,TRUCKLOAD,DRY BULK,"Truckload service with specialized trailers to haul large unpackaged quantities of ""dry"" commodity cargo (e.g., sand, gravel, fertilizer)"
TRANSPORTATION & LOGISTICS,TRUCKLOAD,DRY VAN,"Fully enclosed truckload service. Not temperature controlled and cannot carry oversized shipments. "
TRANSPORTATION & LOGISTICS,TRUCKLOAD,FLATBED TRUCKLOAD,Truckload service with a flatbed trailer used frequently for construction products
TRANSPORTATION & LOGISTICS,TRUCKLOAD,INTERMODAL,Transportation of freight in an imtermodal container using multiple modes of transportation
TRANSPORTATION & LOGISTICS,TRUCKLOAD,LIQUID BULK,"Truckload service with specialized trailers to haul liquid (e.g., chemicals, petroleum) cargo in large unpackaged quantities"
TRANSPORTATION & LOGISTICS,TRUCKLOAD,REFRIGERATED,"Truckload service with specialized refrigerated trailers to keep products and cargo at correct temperatures during transportation.  "
TRANSPORTATION & LOGISTICS,TRUCKLOAD,TRUCKLOAD,"Trucking company that generally contracts an entire trailer-load to a single customer. "
TRAVEL,GROUND TRANSPORTATION,AUTO RENTAL,Car rental for business travel
TRAVEL,GROUND TRANSPORTATION,CAR SERVICE,Car share services for business travel
TRAVEL,GROUND TRANSPORTATION,CHARTER BUS,Charter Bus services for business travel
TRAVEL,GROUND TRANSPORTATION,FERRY SERVICE,"Passenger and car ferries "
TRAVEL,GROUND TRANSPORTATION,PASSENGER RAIL,Commuter or passenger rail fares for business travel
TRAVEL,GROUND TRANSPORTATION,TAXI / RIDESHARE,Ride share services used for business travel
TRAVEL,TRAVEL EXPENSES,AIRFARE,Commercial airfare (not private/charter)
TRAVEL,TRAVEL EXPENSES,CORPORATE AIRCRAFT,Services related to the maintenance and operation of a corporate aircraft
TRAVEL,TRAVEL EXPENSES,CORPORATE HOUSING,Short term housing service sponsored by the company.
TRAVEL,TRAVEL EXPENSES,HOTELS,Hotel stays for business travel
TRAVEL,TRAVEL EXPENSES,MEALS & ENTERTAINMENT,"Meals, snacks, restaurants and entertainment for employees and any business guests"
TRAVEL,TRAVEL EXPENSES,PARKING,Parking expenses associated with business travel
TRAVEL,TRAVEL EXPENSES,TOLLS,Toll payments associated with business travel
TRAVEL,TRAVEL MANAGEMENT,TRAVEL CARD,Travel credit card payments and reimbursements
TRAVEL,TRAVEL MANAGEMENT,TRAVEL MANAGEMENT,External travel agency and/or booking tool used to manage travel needs
UNADDRESSABLE,UNADDRESSABLE,BOARD / DIRECTORS FEES,Payments to board members/directors
UNADDRESSABLE,UNADDRESSABLE,CHARITABLE CONTRIBUTIONS,"Gifts made by an individual or an organization to a nonprofit organization, charity or private foundation"
UNADDRESSABLE,UNADDRESSABLE,COMMISSIONS,Sales commisions paid to individuals or organizations
UNADDRESSABLE,UNADDRESSABLE,DIVIDEND PAYMENTS,Shareholder dividend payments
UNADDRESSABLE,UNADDRESSABLE,EMPLOYEE COMPENSATION & REIMBURSEMENT,Employee compensation and reimbursement payments
UNADDRESSABLE,UNADDRESSABLE,FRANCHISE & ACQUISITION FEES,Franchise and acquisition fees
UNADDRESSABLE,UNADDRESSABLE,INTEREST / DEBT PAYMENTS,Interest and debt expenses
UNADDRESSABLE,UNADDRESSABLE,INTERNAL TRANSFERS,Transfers within the organization
UNADDRESSABLE,UNADDRESSABLE,LICENSES & PERMITS,Licenses and permits required to conduct businesses
UNADDRESSABLE,UNADDRESSABLE,MANAGEMENT FEES,Company management fees; often times paid to a private equity firm
UNADDRESSABLE,UNADDRESSABLE,MARKET LISTING FEES,Market listing fees and services
UNADDRESSABLE,UNADDRESSABLE,PARTNERSHIP FEES,Partnership fees
UNADDRESSABLE,UNADDRESSABLE,PETTY CASH,"Money maintained by a company for employee expenditures. "
UNADDRESSABLE,UNADDRESSABLE,RETIREMENT FUND CONTRIBUTIONS,Retirement fund contributions
UNADDRESSABLE,UNADDRESSABLE,REVENUE ADJUSTMENTS / REIMBURSEMENTS,Revenue adjustments and customer reimbursements/rebates
UNADDRESSABLE,UNADDRESSABLE,ROYALTIES,Royalty fees owed to other organizations
UNADDRESSABLE,UNADDRESSABLE,SETTLEMENTS / INSURANCE CLAIMS,Payment of legal settlements or insurance claims
UNADDRESSABLE,UNADDRESSABLE,TAXES & FEES,Government taxes and fees
UNADDRESSABLE,UNADDRESSABLE,TUITION REIMBURSEMENT,Employee tuition reimbursement
UNADDRESSABLE,UNADDRESSABLE,UNADDRESSABLE,
UNADDRESSABLE,UNADDRESSABLE,UNION CONTRIBUTIONS,Union dues and contributions
UNADDRESSABLE,UNADDRESSABLE,WARRANTY PAYMENTS,Warranty expense payments
UNCATEGORIZED,UNCATEGORIZED,UNCATEGORIZED,Spend where an appropriate category has not yet been identified
UTILITIES,UTILITIES,ELECTRICITY,Electricity service
UTILITIES,UTILITIES,NATURAL GAS,Natural gas service
UTILITIES,UTILITIES,STEAM,Steam service
UTILITIES,UTILITIES,UTILITIES MANAGEMENT SERVICES,"Utility consulting services, including utility bill payment, processing, bill audit and energy procurement"
UTILITIES,UTILITIES,WATER & SEWER,"Water and sewer utilities. "
